id,hello,intro1,qskip1,rwdirusa,rwdiril,rwdirlocal,qlife,qskip2,cf_prohib_co,recall,cf_lim_leader,ch_lim_inkind,cf_lim_fedmatch,cf_comment,term_leader,cf_public,qskip3,redist_hat,redist_neutral,redist_comment,referend,qskip4,app_pres_oba,app_gov_quin,app_ilag_mad,app_Ilsminl_rad,app_iltres_gian,app_ilhminl_cro,app_ilspres_cul,app_ilhspk_mad,app_sen_durb,app_sen_bur,app_ilcomp_hyn,tax_fed_val,tax_il_val,tax_local_val,tax_fairshr,qskip5,qual_air,qual_infra,qual_cops,qual_K12,econ_local,qual_parks,budgq_grp1,budgq_grp2,budgq_grp3,deficit_grp1,deficit_grp2,deficit_comment,deficit_grp3,qskip6,cuts_K12,cuts_he,cuts_he_comments,cuts_cops,cuts_parks,cuts_poor,cuts_disable,cuts_disable_comment,pen_cuts,qskip7,tax_inc09,tax_sales,tax_services,gamble_exp,sell_il_asset,sell_il_asset_comment,prim10_vote,prim10_party,primgov_grp1,primgov_grp2,qskip8,primgov_grp3,primgov_grp4,primgov_grp5,primgov_grp6,primgov_grp7,primgov_grp8,qskip9,abort_leg,lgcoup.grp1,lg_coup_rts_comments,lgcoup.grp2,lgcoup.grp3,qskip10,hc_fed_resp,hc_fed_resp_comment,gender,education,party_aff1,party_str,party_indystr,hc_haveins,hc_pub,hc_empr,hc_indy,hc_other,hc_dknr,hc_cobra,hc_union,hc_supins,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,born_again_comment,zip,birth_yr,rac_eth,hh_inc,thank,gender2,thank2,date,time,area,age,add_comments,fix_deficit_il09,prim10_gov_dem,prim10_gov_rep,lg_coup_rts,party_aff2,party_aff3,party_strength,party_aff,party_indy
51,1,1,1,2,2,1,2,1,2,2,2,2,2, ,2,2,1,1,2, ,2,1,3,3,1,9,2,4,9,2,2,4,2,3,4,3,2,1,4,2,2,2,3,4, ,1, , ,2, , ,1,2,2, ,2,2,1,2, ,1,1,2,2,1,1,2, ,1,2, , ,1, , , , ,3, ,1,2, , ,2, ,1,4, ,1,3,1,1, ,1,0,1,0,0,0,0,0,0,4, ,1,13, , , , , ,3, , , , , ,2, ,61080,68,1,3,0,1, ,20090923,153614,3,41, ,2, ,3,2,1,1,1,1,1
52,1,1,1,1,1,1,3,1,2,3,2,3,1, ,2,3,1,3,3, ,3,1,2,2,9,9,9,9,9,9,9,9,9,3,9,2,2,1,1,1,1,1,1,1, , ,1, , , ,9,1,2,1, ,2,2,1,1, ,1,1,2,2,1,2,1, ,1,9, , , , , , , , , ,1,3, , , ,2,1,3, ,1,5,1,9, ,1,0,0,1,0,0,0,0,0,1,1, ,5, , , , , , , , , , , , , ,60108,27,1,98,0,1, ,20090923,153901,2,81, ,9, , ,2,999,999,999,999,999
53,1,1,1,1,9,9,3,1,2,2,2,9,2, ,2,2,1,2,2, ,2,1,1,1,9,9,9,9,9,3,2,3,9,3,5,3,3,1,3,4,3,3,4,3,1, , ,2, , , ,1,2,2, ,2,2,2,2, ,2,1,2,1,1,2,2, ,1,1,1, , , , , , , , ,1,2, , , ,2,1,1, ,1,2,3, ,3,1,1,0,0,0,0,0,0,0,4, ,1,24, , , , , , , , , , , ,1, ,60411,37,1,3,0,1, ,20090923,154730,2,0, ,2,1, ,2,4,3,3,5,7
55,1,1,1,2,2,3,3,1,3,2,1,3,2, ,1,4,1,2,2, ,2,1,4,3,2,9,3,9,9,9,4,4,2,3,3,4,2,1,3,4,2,2,4,2,1, , ,2, , , ,1,1,1, ,2,1,2,2, ,1,1,2,2,2,2,1, ,1,2, , ,1, ,1, , , , ,1,2,3, , , ,1,4, ,2,2,1,1, ,1,1,0,1,0,0,0,0,0,1,1, ,14, , , , , , ,1, , , , ,2, ,61832,40,1,5,0,2, ,20090923,155209,3,0, ,2, ,1,3,1,1,1,1,1
57,1,1,1,2,2,1,1,1,3,3,3,3,3, ,3,3,1,3,2, ,2,1,4,2,1,9,9,9,9,4,4,4,9,3,3,1,3,1,1,1,1,1,1,1,1, , ,3, , , ,1,2,2, ,2,2,2,2, ,2,1,1,9,9,2,2, ,1,2, , ,1, , , , , ,9,1,3,2, , , ,1,4, ,1,4,3, ,8,1,0,0,1,0,0,0,0,0,5, ,1,24, , , , , , , , , , , ,2, ,61761,99,1,99,0,1, ,20090923,155646,3,88, ,3, ,9,2,6,8,3,8,12
58,1,1,1,2,1,1,1,1,2,2,2,2,2, ,5,5,1,3,1, ,2,1,3,1,9,9,9,9,9,2,3,3,9,3,3,2,2,1,2,1,1,2,3,2, , ,1, , , ,3,1,1,2, ,2,2,2,1, ,1,1,3,2,1,2,2, ,2, , , , , , , , , , ,1,2, , , ,3,1,3, ,2,6,3, ,5,1,1,0,0,0,0,0,0,0,1,1, ,24, , , , , , , , , , , ,2, ,62226,36,1,99,0,2, ,20090923,155713,4,73, ,3, , ,3,2,1,3,3,5
59,1,1,1,2,2,1,2,1,1,2,1,1,5, ,1,1,1,4,1, ,3,1,2,2,2,9,2,2,9,4,2,4,2,4,4,2,2,1,2,2,2,2,3,2, ,1, , ,2, , ,1,2,1, ,9,2,1,2, ,1,1,2,1,1,1,2, ,1,2, , ,1, , , ,1, , ,1,3, , , ,2,1,3, ,1,2,1,3, ,1,0,0,1,0,0,0,0,0,1,1, ,5, , , , , , , , , , , , , ,61548,47,1,99,0,1, ,20090923,160406,3,0, ,2, ,1,2,2,1,2,2,2
60,1,1,1,3,3,3,4,1,5,5,3,2,5, ,5,5,1,3,5, ,3,1,3,2,2,9,9,2,9,9,2,9,9,3,2,5,9,1,4,3,2,9,3,9, , ,1, , , ,9,1,9,9, ,2,1,2,1, ,9,1,1,2,2,2,2, ,9, , , , , , , , , , ,1,2, , , ,3,1,2, ,1,2,4, ,99,1,0,0,1,0,0,0,0,0,3,1, ,14, , , , , , ,1, , , , ,9, ,60913,31,1,98,0,1, ,20090923,160713,3,77, ,9, , ,3,99,99,6,88,88
62,1,1,1,2,2,2,4,1,4,1,4,4,1, ,1,4,1,4,2, ,2,1,3,3,2,2,2,2,2,3,4,4,2,3,3,3,3,1,3,3,3,2,3,2, , ,1, , , ,1,1,1,1, ,2,2,2,2, ,2,1,1,1,2,1,2, ,1,9, , , , , , , , , ,1,2,2, , , ,1,3, ,1,3,4, ,5,1,0,1,0,0,0,0,0,0,4, ,1,99, , , , , , , , , , , ,2, ,61756,60,1,4,0,1, ,20090923,161633,3,49, ,1, , ,2,2,1,6,88,88
63,1,1,1,1,1,2,3,1,1,4,1,5,1, ,1,1,1,4,1, ,3,1,2,2,1,2,2,3,3,4,1,4,1,3,2,2,1,1,4,4,4,1,4,2, , ,1, , , ,3,1,2,1, ,1,1,2,2, ,2,1,2,2,1,1,1, ,1,1,9, , , , , , , , ,1,1, , ,1, ,1,1, ,1,6,2,2, ,1,0,1,0,0,0,0,0,0,5, ,1,13, , , , , ,3, , , , , ,2, ,60435,63,1,6,0,1, ,20090923,161832,3,46, ,3,9, ,1,5,3,5,7,11
64,1,1,1,2,2,2,3,1,2,2,2,2,2, ,2,3,1,5,3, ,2,1,4,3,4,9,4,9,4,4,4,3,3,4,5,5,1,1,4,5,3,3,4,3,1, , ,2, , , ,1,2,1, ,2,2,2,2, ,2,1,2,2,2,2,2, ,1,1,9, , , , , , , , ,1,2, , , ,2,1,4, ,2,6,2,2, ,1,0,1,0,0,0,0,0,0,2,1, ,5, , , , , , , , , , , , , ,60656,63,1,99,0,2, ,20090923,161806,1,69, ,2,9, ,2,5,3,5,7,11
67,1,1,1,1,2,2,2,1,1,1,1,1,1, ,1,1,1,4,1, ,2,1,2,2,2,9,9,9,9,4,2,4,2,4,5,5,3,1,5,2,3,5,5,2, , ,1, , , ,4,1,2,1, ,1,2,3,2, ,1,1,2,2,2,1,2, ,1,1,2, , , , , , , , ,1,2,2, , , ,1,1, ,2,3,2,2, ,1,0,0,0,0,0,0,1,0,5, ,1,5, , , , , , , , , , , , , ,61614,54,1,3,0,2, ,20090925,132459,3,55, ,4,2, ,2,5,3,5,7,11
68,1,1,1,2,9,2,2,1,2,3,2,5,1, ,2,3,1,5,3, ,2,1,2,2,2,9,9,9,9,4,3,4,9,3,2,3,3,1,2,2,1,5,2,2,1, , ,1, , , ,1,3,1, ,2,1,1,2, ,9,1,1,2,1,2,2, ,1,2, , ,1, , , , ,9, ,1,2, , ,3, ,1,3, ,1,2,1,1, ,1,1,1,0,0,0,0,0,0,1,1, ,13, , , , , ,1, , , , , ,2, ,62704,24,1,1,0,1, ,20090925,132624,3,85, ,1, ,9,3,1,1,1,1,1
69,1,1,1,2,2,2,3,1,4,1,1,4,1, ,5,2,1,4,4, ,2,1,2,2,9,9,9,9,9,9,4,9,2,2,3,3,3,1,2,3,2,3,4,2, ,1, , ,2, , ,1,1,2, ,2,1,2,2, ,2,1,2,2,1,2,2, ,1,2, , ,1, , , , ,8, ,1,3,3, , , ,1,9, ,1,2,4, ,4,1,1,0,0,0,0,0,0,0,1,1, ,23, , , , , , , , , , , ,1, ,62418,47,1,3,0,1, ,20090925,133311,4,66, ,2, ,8,3,3,2,6,88,88
70,1,1,1,2,2,1,3,1,4,1,5,2,2, ,1,5,1,4,2, ,2,1,4,1,1,9,9,9,9,2,4,4,9,3,3,2,3,1,1,2,2,1,4,2, ,1, , ,2, , ,1,2,3, ,2,1,3,3, ,1,1,2,2,2,2,2, ,1,2, , ,1, ,9, , , , ,1,1, , , ,3,1,4, ,1,4,1,1, ,1,0,1,0,0,0,0,0,0,2,1, ,13, , , , , ,2, , , , , ,2, ,60124,63,1,5,0,1, ,20090925,133417,2,46, ,2, ,9,3,1,1,1,1,1
71,1,1,1,1,2,1,2,1,2,2,4,1,2, ,2,2,1,4,3, ,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,3,2,1,2,3,2,2,1,1, , ,1, , , ,2,1,2,1, ,1,1,2,2, ,2,1,2,2,2,1,1, ,1,1, ,2, , , , , , , ,1,1, , ,1, ,1,2, ,2,5,1,1, ,1,0,0,1,0,0,0,0,0,4, ,1,9, , , , , , , , , , , ,1, ,99998,69,1,5,0,2, ,20090925,134336,2,83, ,2,2, ,1,1,1,1,1,1
73,1,1,1,2,2,2,3,1,2,2,3,2,3, ,2,3,1,5,5, ,2,1,4,3,2,9,3,9,9,2,4,4,9,5,5,4,2,1,2,3,2,5,4,2, , ,1, , , ,2,1,1,1, ,2,2,2,2, ,1,1,2,2,1,2,2, ,1,4, , , , , , , , , ,1,2, , ,2, ,1,2, ,1,4,3, ,6,1,1,1,0,0,0,0,0,0,1,1, ,21, , , , , , , , , , , ,1, ,60118,40,1,99,0,1, ,20090925,135304,2,38, ,2, , ,2,2,1,3,3,4
76,1,1,1,1,1,2,3,1,3,2,2,2,5, ,2,3,1,2,2, ,2,1,1,1,9,9,2,9,9,2,2,3,9,3,1,3,3,1,2,2,2,3,4,2, ,1, , ,3, , ,1,2,1, ,2,1,2,2, ,2,1,2,1,1,2,2, ,1,1, ,9, , , , , , , ,1,1,1, , , ,1,2, ,1,3,2,4, ,1,0,0,1,0,0,0,0,0,4, ,1,5, , , , , , , , , , , , , ,61448,46,1,5,0,1, ,20090925,142139,3,38, ,3,9, ,1,4,3,4,6,10
77,1,1,1,2,2,2,3,1,4,1,3,1,1, ,1,2,1,3,3, ,2,1,3,3,2,9,4,9,9,3,4,4,2,3,4,3,3,1,2,5,2,2,2,2,1, , ,2, , , ,1,1,1, ,2,1,2,2, ,1,1,2,2,2,1,1, ,1,9, , , , , , , , , ,1,2, , , ,2,1,4, ,2,5,3, ,5,1,0,0,0,0,1,0,0,0,4, ,1,13, , , , , ,3, , , , , ,2, ,60525,31,1,99,0,2, ,20090925,143027,2,71, ,2, , ,2,2,1,3,3,5
78,1,1,1,2,1,1,1,1,1,1,2,2,2, ,2,2,1,3,2, ,2,1,4,9,3,9,9,9,9,3,2,4,9,3,3,4,2,1,1,3,1,1,1,1, , ,1, , , ,2,1,2,9, ,2,9,9,2, ,9,1,2,2,2,1,2, ,1,2, , ,1, , ,9, , , ,1,1, , ,3, ,1,4, ,1,5,1,1, ,1,0,1,0,0,0,0,0,0,4, ,1,5, , , , , , , , , , , , , ,60031,62,1,6,0,1, ,20090925,143059,2,51, ,2, ,9,3,1,1,1,1,1
79,1,1,1,2,2,1,1,1,1,1,1,1,2, ,2,9,1,9,9, ,2,1,4,3,3,3,3,9,9,4,4,4,9,5,5,2,3,1,1,2,1,2,2,1, ,1, , ,2, , ,1,1,1, ,1,1,1,1, ,1,1,2,2,2,9,9, ,1,2, , ,1, , , , ,9, ,1,3, , , ,1,1,4, ,1,5,3, ,7,1,0,1,0,0,0,0,0,0,4, ,3, , , , , , , , , , , , , , ,60563,52,1,7,0,1, ,20090925,143403,2,34, ,2, ,9,1,1,1,3,3,3
80,1,1,1,2,9,1,2,1,5,2,5,2,2, ,5,2,1,3,2, ,1,1,3,1,2,2,2,9,2,2,2,2,9,3,3,3,9,1,2,2,2,2,2,2, ,1, , ,2, , ,1,1,9, ,1,9,9,9, ,1,1,2,2,2,2,9, ,1,2, , ,1, , ,1, , , ,1,1,3, , , ,1,2, ,1,3,1,1, ,1,0,0,1,0,0,0,0,0,1,1, ,14, , , , , , ,1, , , , ,2, ,61101,16,1,2,0,1, ,20090925,143535,3,93, ,2, ,1,3,1,1,1,1,1
