id,area,rwdirusa,rwdiril,rwdirlocal,qlife,redist_hat,redist_neutral,redist_commis,app_pres_oba,firstam_1,firstam_2,firstam_3,firstam_4,firstam_5,firstam_6,firstam_7,firstam_8,firstam_9,firstam_10,firstam_11,firstam_12,firstam_13,firstam_14,massmedia,press_free,teapar_know,app_teapar,teapar_vote,gen10_vote,gen10_pollplace,gen10_house,gen10_enthu,term_lim,term_leader,cf_lim_judic,cf_pub_judic,cf_lim_leader,prim_nodeclr,fix_deficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_inc_temp,tax_sales,tax_services1,tax_services2,gamble_exp,sell_il_asset,gen10_gov,gen10_gov_no3,gen10_ussen,gen10_ussen_no3,recall_today,recall,abort_leg,lg_rights,lg_mil_open,death_pen,betteroff_now,betteroff_1yr,poltol_vers,poltol_frs,poltol_frs_rep,poltol_frs_dem,poltol_frs_wom,poltol_frs_teapar,poltol_frs_lds,poltol_fru,poltol_fru_rep,poltol_fru_dem,poltol_fru_wom,poltol_fru_teapar,poltol_fru_lds,poltol_you_rep,poltol_you_dem,poltol_you_wom,poltol_you_teapar,poltol_you_lds,gender,education,ideology,party_aff,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,christian_type,birth_yr,zip,rac_eth,rent_own,hhinc,zip1,fips,adi,dma,msa,nielson,census,firam_pres,firam_spe,firam_relig,firam_pet,firam_asmbly,firam_tot,firam_none1,firam_other,firam_none2
14202,2,1,1,1,2,3,2,1,1,2,3, , , , , ,6, , , , , , ,2,3,2,3,2,1,1,2,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1, ,1,1,2,1, ,1, ,2,2,1,1,2,1,3,3,3, , , , , , , , , , , , ,1,1,1,2,1,1,6,2,1,3,1, ,19, , , , , , , ,1, , , ,3,3,1977,60076,3,2,6,60076,17031,196,140,1698,A,3,0,1,1,0,0,2,0,0,0
14293,3,3,2,2,3,4,5,1,1,2,5, , , , , ,6, , , , , , ,2,1,1,4,2,1,1,2,3,1,1,1,1,4,1,3,2,2,2,2,2,2,2,1,1,1, ,3,2,7, ,1, ,2,2,1,1,1,2,3,3,2, , , , , , ,1,0,4,4,0,2, , , , , ,2,6,1,3,5, ,3, , , , , , , , , , , , , , ,1954,61821,6,2,4,61821,17019,834,116,1658,C,3,0,1,0,0,1,2,0,0,0
14376,2,2,2,3,2,3,2,1,4,2,1,3, , , , ,6, , , , , , ,3,3,1,1,1,1,1,1,3,1,1,5,5,2,5,2,1,1,2,1,1,2,1,2,2, ,2,2,2,2, ,2, ,1,1,2,2,2,2,2,2,3, , , , , , , , , , , , ,3,2,1,1,3,2,5,4,4,5, ,1,16, , , , , , , , , , , ,2,3,1954,60563,7,2,8,60563,17043,196,140,1698,A,3,1,1,1,0,0,3,0,0,0
14392,3,2,2,2,4,3,2,2,3,2, , , , , , ,6, , , , , , ,2,3,2,5, ,1,1,3,3,1,1,2,1,3,1,3,2,1,2,1,2,2,2,2,1,2, ,2,3,2, ,6, ,1,1,2,2,2,1,2,3,3, , , , , , , , , , , , ,1,1,1,1,1,2,3,3,4,1,1, ,80, , , , , , , , , , , ,1,3,1952,61870,1,2,4,61870,17183,834,116,1918,C,3,0,1,0,0,0,1,0,0,0
14516,4,2,2,2,5,5,5,3,4,2, , , , , , ,6, , , , , , ,2,3,1,1,1,1,1,1,1,1,2,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2, ,1,2,2, ,2, ,1,1,2,2,2,1,2,3,3, , , , , , , , , , , , ,1,2,1,1,1,2,3,3,5,5, ,1,88, , , , , , , , , , , ,1,3,1941,62966,1,2,2,62966,17077,662,544,9999,D,3,0,1,0,0,0,1,0,0,0
14519,3,2,2,1,2,5,5,3,2,6, , , , , , , , , , , , , ,2,1,2,3,2,1,3,2,2,1,1,1,5,5,1,2,2,2,2,1,2,2,1,2,2, ,1,2,1,1, ,1, ,1,1,1,3,2,1,2,3,1,1,0,3,3,0,3, , , , , , , , , , , ,2,3,6,1,2,1, ,18, , , , , , , , , , , ,1,5,1942,62056,1,5,8,62056,17135,834,626,9999,D,3,0,0,0,0,0,0,1,0,1
14634,4,3,2,3,3,4,2,3,3,6, , , , , , , , , , , , , ,2,3,2,3,2,2, ,2,2,1,5,1,2,2,1,2,2,2,2,2,2,2,2,3,2, ,1,2,2,5,1,6, ,1,1,2,2,2,1,2,3,2, , , , , , ,1,5,5,5,5,5, , , , , ,2,2,2,3,1,1, ,3, ,2, , , , , , , , , ,1,3,1927,62035,1,2,8,62035,17119,760,626,4118,A,3,0,0,0,0,0,0,1,0,1
14649,2,2,2,2,3,3,2,1,4,6, , , , , , , , , , , , , ,2,3,2,5, ,1,2,1,1,1,2,2,2,3,2,2,2,1,2,1,2,2,1,2,2, ,2,1,1,2, ,2, ,1,1,3,3,3,2,3,3,2, , , , , , ,1,4,2,4,2,4, , , , , ,1,6,4,6,1,1, ,5, , , , , , , , , , , , , ,1968,60543,1,2,5,60543,17093,196,140,1698,A,3,0,0,0,0,0,0,1,0,1
14659,3,3,3,1,2,4,1,1,1,6, , , , , , , , , , , , , ,3,4,1,4,2,1,1,2,3,1,2,1,1,1,1,3,2,2,2,1,2,2,1,1,1,2, ,2,2,6, ,1, ,2,1,1,1,1,2,3,3,2, , , , , , ,1,1,2,3,0,5, , , , , ,2,6,2,4,3,2, , , , , , , , , , , , ,5, , ,1948,62704,1,2,8,62704,17167,834,116,4410,C,3,0,0,0,0,0,0,1,0,1
14670,2,2,2,2,4,4,5,2,4,6, , , , , , , , , , , , , ,2,1,1,1,1,1,3,1,1,1,1,4,4,4,2,3,2,2,2,2,2,2,1,2,2,2, ,2,2,2, ,2, ,1,2,2,3,2,1,2,2,1,1,3,0,3,4,3, , , , , , , , , , , ,2,2,3,4,4, ,1,13, , , , , ,2, , , , , ,1,3,1938,60559,1,2,1,60515,17043,196,140,1698,A,3,0,0,0,0,0,0,1,0,1
